Date,Open,High,Low,Close,Volume,Adj Close
2013-03-25,812.41,819.23,806.82,809.64,1712000,809.64
2013-03-22,814.74,815.24,809.64,810.31,1488200,810.31
2013-03-21,811.29,816.92,809.85,811.26,1466800,811.26
2013-03-20,816.83,817.51,811.44,814.71,1463800,814.71
2013-03-19,811.24,819.25,806.45,811.32,2098200,811.32
2013-03-18,805.00,812.76,801.47,807.79,1838300,807.79
2013-03-15,818.50,820.30,813.34,814.30,3099700,814.30
2013-03-14,826.99,826.99,817.39,821.54,1651200,821.54
2013-03-13,827.90,830.69,822.31,825.31,1641300,825.31
2013-03-12,830.71,831.89,823.67,827.61,2008300,827.61
2013-03-11,831.69,839.70,831.50,834.82,1594700,834.82
